,type_id,class_id,classification name,parent class,parent_class_id,note,zith category,new parent category,new category in zith?,zith platform,new platform in zith?,use zith9 name,fix zith9 name,zith site,zith event
,1,2,AQUA,Satellite,161,,Satellite,,,"Satellite, NASA/EOS Aqua",,X,,,
,1,4,Abundance,Biology,23,,Biology                                            ,,,,X,,"NEON AOP3 Twin Otter - add parent and ""Aircraft, """,,
,1,5,Active Layer/Permafrost,Soils,168,,Active Layer/Permafrost,,,,,,,,
,1,6,Aerial Photography,Photography,131,change child to photogarphy,Photography,,,,,,,,
,1,7,Air Force C-130,Aircraft,8,,Aircraft,,,"Aircraft, USAF C-130",,X,,,
,1,8,Aircraft,,,,Aircraft,,,,,,,,
,1,11,Ancillary,,,,Ancillary Info,,,,,,,,
,1,16,Aura,Satellite,161,,Satellite,,,"Satellite, NASA/EOS Aura",,X,,,
,1,18,Bathymetry,Land Characterization,91,,Oceanography,,,,,,,,
,1,19,Benthos                                            ,,,,Oceanography,Biology,,,,,,,
,1,22,Biogeochemical,Biology,,,Biology,,X,,,,,,
,1,23,Biology                                            ,,,,Biology                                            ,,,,,,,,
,1,24,Biomass,Biology,23,,Biology,Biology,X,,,,,,
,1,25,Boundary Layer Meteorology                         ,,,,Boundary Layer Meteorology                         ,,,,,,,,
,1,26,Buoy,,124,,,,,Buoy,X,,,,
,1,27,CALIPSO,Satellite,161,,Satellite,,,CALIPSO,X,,,,
,1,28,CCGS Des Groseilliers,Ship Based,166,,Ship,,,CCGS Des Groseilliers,X,,,,
,1,30,CTD,Oceanography,124,,,,,CTD ocean cast,,X,,,
,1,32,Chemistry                                          ,,,,Chemistry                                          ,,,,,,,,
,1,34,Citation,Aircraft,8,,Aircraft,,,"Aircraft, Citation",,X,,,
,1,37,CloudSat,Satellite,161,,Satellite,,,CLOUDSAT,,X,,,
,1,38,Composites,Mesonet,96,add mesonet to name,,,,Mesonet Composites,X,,,,
,1,39,Constant Level Balloon,Upper Air,197,,Upper Air,,,Balloons,,X,,,
,1,40,Coordinated Experiments,Model,102,,,,,Coordinated Experiments,X,,,,
,1,42,DEM,Land Characterization,91,,DEM,,,DEM - Digital Elevation Model,,,,,
,1,43,DLR Falcon,Aircraft,8,,Aircraft,,,"Aircraft, DLR Falcon",,X,,,
,1,44,DMSP,Satellite,161,,Satellite,,,"Satellite, DMSP",,X,,,
,1,45,DOE Gulf Stream 1 (G-1),Aircraft,8,,Aircraft,,,"Aircraft, DOE Gulf Stream 1 (G-1)",,X,,,
,1,46,Data Assimilation,Model,102,,,,,Data Assimilation,X,,,,
,1,50,Dropsonde,Upper Air,197,,Upper Air,,,Dropsonde,X,,,,
,1,51,ENVISAT,Satellite,161,,Satellite,,,ENVISAT,X,,,,
,1,52,ERS,Satellite,161,,Satellite,,,ERS,X,,,,
,1,53,Field Campaign,Model,102,,,,,Field Campaign,X,,,,
,1,55,Flux                                               ,,,,Flux                                               ,,,,,,,,
,1,56,Flux Tower,Flux,55,,Flux,,,Flux Tower,,,,,
,1,57,GIS                                                ,,,,,,,,,,,,
,1,58,GOES,Satellite,161,after merge subdivide these in GOESnn ,Satellite,,,GOES,X,,,,
,1,59,GPS,Upper Air,197,,Upper Air,,,GPS,,X,,,
,1,78,Hydrography,,,,Hydrography,,X,,,,,,
,1,79,Hydrology,,,,Hydrology,,,,,,,,
,1,80,INSAT,Satellite,161,,Satellite,,,INSAT,X,,,,
,1,83,Intercomparison                                    ,,,,Precipitation                               ,,X,,,,,,
,1,89,LANDSAT,Satellite,161,,Satellite,,,LANDSAT,,X,,,
,1,90,Land Based,,,,Land Based,,X,,,,,,
,1,91,Land Characterization,,,,Land Character,,,,,,,,
,1,93,Lidar,Upper Air,197,,Upper Air,,,LIDAR,,X,,,
,1,96,Mesonet,Land Based,90,,Mesonet,is parent,,,,,,,
,1,97,Meteorological Tower,,,,,,,Meteorological Tower,X,,,,
,1,98,Meteorology,,,,Meteorology,Models/Analyses,,,,X,,,
,1,99,Meteosat,Satellite,161,after merge subdivide these in Meteosat-n ,Satellite,,,Meteosat,X,,,,
,1,100,Microbiology,Biology,23,,Microbiology,Biology,X,,,,,,
,1,102,Model,,,,Model,,,,,,,,
,1,103,Mooring,,,,,,,Mooring,,X,,,
,1,107,Mystere,Aircraft,8,,Aircraft,,,"Aircraft, Mystere",X,,,,
,1,108,NASA DC-8,Aircraft,8,,Aircraft,,,"Aircraft, NASA DC-8",,X,,,
,1,109,NASA Jetstream 31,Aircraft,8,,Aircraft,,,"Aircraft, NASA Jetstream 31",,X,,,
,1,110,NASA Langley B200 (King Air),Aircraft,8,,Aircraft,,,"Aircraft, NASA Langley B200",,X,,,
,1,111,NASA Proteus,Aircraft,8,,Aircraft,,,"Aircraft, NASA Proteus",X,,,,
,1,113,NSF/NCAR GV HIAPER,Aircraft,8,,Aircraft,,,"Aircraft, NSF/NCAR GV HIAPER",,X,,,
,1,114,NOAA G-IV,Aircraft,8,,Aircraft,,,"Aircraft, NOAA G-IV",,X,,,
,1,115,NOAA P-3 (N42),Aircraft,8,,Aircraft,,,"Aircraft, NOAA P-3",,X,,,
,1,116,NOAA P-3 (N43),Aircraft,8,,Aircraft,,,"Aircraft, NOAA P-3",,X,,,
,1,117,NRL P-3,Aircraft,8,,Aircraft,,,"Aircraft, NRL P-3",,X,,,
,1,118,NSF/NCAR C-130,Aircraft,8,,Aircraft,,,"Aircraft, NSF/NCAR C-130",,X,,,
,1,120,Navigation                                         ,,,,Ship Based,,,,,,,,
,1,123,Nutrient,Biology,258,,Biology,,,,,,,,
,1,124,Oceanography                                       ,,,,Oceanography                                       ,,,,,,,,
,1,125,Optics,,,,Optics,,,,,,,,
,1,127,Ozonesonde,Upper Air,197,,Upper Air,,,Ozonesonde,,X,,,
,1,128,POES,Satellite,161,after merge subdivide these ,Satellite,,,POES,X,,,,
,1,130,Paleoceanography,Oceanography,124,,Paleoceanography,,X,,,,,,
,1,131,Photography                                        ,,,,Photography                                        ,,,,,,,,
,1,132,Plankton,Biology,23,,Plankton,Biology,X,,,,,,
,1,133,Position                                           ,,,,Position,,,,,,,,
,1,134,Precipitation,Land Based,90,,Precipitation,,,,,,,,
,1,135,Production,Biology,23,,Biology                                            ,Biology,X,,,,,,
,1,136,Profiler,Upper Air,197,,Upper Air,,,,,,,,
,1,138,QuikSCAT,Satellite,161,,Satellite,,,QuikSCAT,X,,,,
,1,139,R/V Alpha Helix,Ship Based,166,,Ship,,,R/V Alpha Helix,X,,,,
,1,140,R/V Altair,Ship Based,166,,Ship,,,MX Navy SEMAR Altair ,,X,,,
,1,141,R/V El Puma,Ship Based,166,,Ship,,,R/V El Puma  ,,X,,,
,1,142,R/V Francisco de Ulloa,Ship Based,166,,Ship,,,MX CICESE Francisco de Ulloa,,X,,,
,1,143,R/V Nathaniel B. Palmer,Ship Based,166,,Ship,,,R/V Nathaniel B. Palmer,X,,,,
,1,144,R/V New Horizon,Ship Based,166,,Ship,,,R/V New Horizon,X,,,,
,1,145,R/V Roger Revelle,Ship Based,166,,Ship,,,R/V Revelle,,X,,,
,1,146,NOAA R/V Ron Brown,Ship Based,166,,Ship,,,NOAA R/V Ron Brown,X,,,,
,1,147,R/VSagarKanya,Ship Based,166,,Ship,,,ORV Sagar Kanya,X,,,,
,1,148,R/V Seward Johnson,Ship Based,166,,Ship,,,RV Seward Johnson,,X,,,
,1,149,RADARSAT,Satellite,161,,Satellite,,,"Satellite, RADARSAT",,X,,,
,1,150,Radar,,,,Radar,,,,,,,,
,1,151,Radiation,,,,Radiation,,,,,,,,
,1,152,Radioisotope                                       ,,,,Radioisotope                                       ,,X,,,,,,
,1,153,Radiosonde,Upper Air,197,,Upper Air,,,Radiosondes,,X,,,
,1,154,Regional Networks,Mesonet,96,add mesonet to name,,,,Mesonet Regional Networks,X,,,,
,1,156,SAR,Satellite,161,"dataset 13.813 is really RADARSAT, not SAR",Satellite,,,"Satellite, Synthetic Aperture Radar (SAR) C-Band",,X,,,
,1,159,SODAR,Upper Air,197,,Upper Air,,,SODAR,X,,,,
,1,161,Satellite                                          ,,,,Satellite                                          ,,,,,,,,
,1,162,Sea Ice                                            ,,,,Sea Ice                                            ,,,,,,,,
,1,163,SeaWIFS,Satellite,161,,Satellite,,,SeaWIFS,X,,,,
,1,164,Sediment                                           ,,,,Sediment,,,,,,,,
,1,166,Ship Based,,,,Ship Based,,,,,,,,
,1,167,Snow,Precipitation,134,remove parent,Snow and Land Ice,,,,,,,,
,1,168,Soils,,,,Soils,,,,,,,,
,1,169,Sonar                                              ,,,,,,,Deep Sonar,,,,,
,1,170,Special Networks,Mesonet,96,add mesonet to name,,,,Mesonet Special Networks,X,,,,
,1,172,Stable Isotope,,,,Stable Isotope,,,,,,,,
,1,173,State Networks,Mesonet,96,add mesonet to name,,,,Mesonet State Networks,X,,,,
,1,174,Submarine,Ship Based,166,,Ship,,,Submarine,X,,,,
,1,179,TERRA,Satellite,161,,Satellite,,,"Satellite, NASA/EOS Terra",,X,,,
,1,180,TRMM,Satellite,161,,Satellite,,,"Satellite, TRMM",,X,,,
,1,182,Tethersonde,Upper Air,197,,Upper Air,,,Tethersonde,X,,,,
NULL,1,183,Thermosonde,Upper Air,197,,Upper Air,,,Thermosonde,X,,,,
,1,187,Trace Gases,Flux,55,,Trace Gases,,,,,,,,
,1,190,UK BAE-146,Aircraft,8,,Aircraft,,,"Aircraft, BAE-146",,X,BAe-146,,
,1,191,USCGC Healy,Ship Based,166,,Ship,,,USCGC Healy,X,,,,
,1,192,USCGC Polar Star,Ship Based,166,,Ship,,,USCGC Polar Star,X,,,,
,1,193,USFS Twin Otter,Aircraft,8,,Aircraft,,,"Aircraft, USFS Twin Otter",,X,,,
,1,194,USS Burton Island,Ship Based,166,,Ship,,,USS Burton Island,X,,,,
,1,195,Microlight Research,Aircraft,8,,Aircraft,,,"Aircraft, Microlight Research",X,,,,
,1,196,Underway                                           ,,,,Ship Based,,,,,,,,
,1,197,Upper Air,,,,Upper Air,,,,,,,,
,1,199,Vegetation,Biology,23,,Vegetation,Biology,X,,,,,,
,1,201,Verification,Model,102,,,,,Verification,X,,,,
,1,203,WMI Lear,Aircraft,8,,Aircraft,,,"Aircraft, WMI Lear",X,,,,
,1,204,WY King Air,Aircraft,8,,Aircraft,,,"Aircraft, UW King-Air",,X,,,
,1,205,Water Chemistry,,,,Water Chemistry,,,,,,,,
,1,206, Water Nutrients                                    ,,,,,,X,Seawater Sampling,,,,,
,1,207, Water Properties                                   ,,,,,,X,Seawater Sampling,,,,,
,1,208,Water Sampling,Oceanography,124,,,,,Seawater Sampling,Seawater Sampling,X,,,
,1,209,PARASOL,Satellite,161,,Satellite,,,PARASOL,X,,,,
,1,213,Human Health                                       ,,,,Human Health                                       ,,X,,,,,,
,1,218,Forcing Data,Model,102,,,,,Forcing Data,X,,,,
,1,219,UAV,Aircraft,8,,Aircraft,,,UAV - Unmanned Aerial Vehicle,,X,,,
NULL,1,223,GV Cloud Physics,Cloud Bulk and Microphysical Properties,35,,GV Cloud Physics,,,,,,,,
,1,225,Land Based Lightning,Land Based,90,,Lightning,,,,,,,,
,1,249,Marine Mammals,Biology,23,,Mammals,Biology, ,,,,,,
,1,250,Seabirds,Biology,23,,Seabirds,Biology,X,,,,,,
,1,251,Fish,Biology,23,,Fish,Biology,X,,,,,,
,1,252,IMARPE R/V Jose Olaya,Ship Based,166,,Ship,,,IMARPE R/V Jose Olaya,X,,,,
,1,257,Accompanying Archives               ,,,,Accompanying Archives               ,,X,,,,,,
,1,258,Terrestrial Ecosystems,,,,Terrestrial Ecosystems,,X,,,,,,
,1,259,Ecology,Biology,258,"keep parent as category, move child to biology",Ecology,,,,,,,,
,1,260,Short Wave Radiation,Radiation,151,change child to radiation,Radiation,,,,,,,,
,1,262,Snow and Land Ice,,,,Snow and Land Ice,,,,,,,,
,1,263,Land Ice                                           ,,,,Snow and Land Ice,,,,,,,,
,1,267,Sounding                                           ,,,,,,,sounding,,,is lower case,,
,1,268,Analysis and Assimilation                          ,,,,,,,Analysis,,,,,
,1,269,NERC Dornier 228,Aircraft,8,,Aircraft,,,"Aircraft, NERC Dornier 228",,X,,,
,1,270,CIRPAS Twin Otter,Aircraft,8,,Aircraft,,,"Aircraft, CIRPAS Twin Otter",,X,,,
,1,273,DOTSTAR ASTRA,Aircraft,8,,Aircraft,,,"Aircraft, DOTSTAR ASTRA",,X,,,
,1,274,Aerosols                                           ,,,,Aerosols                                           ,,,,,,,,
,1,275,Forecast Text Products,,,,Meteorology,,X,,,,,,
,1,276,Google Earth,GIS,57,,GIS,,,Google Earth,,,,,
,1,277,COAMPS,Model,102,,,,,COAMPS,X,,,,
,1,278,ECMWF,Model,102,,,,,ECMWF,,X,,,
,1,279,GFS,Model,102,,,,,NCEP Global Forecast System Model (GFS),,X,,,
,1,280,NOGAPS,Model,102,,,,,"Model, NOGAPS",,X,,,
,1,281,GFO,Satellite,161,,Satellite,,,GFO,X,,,,
,1,282,MTSAT,Satellite,161,after merge subdivide these ,Satellite,,,MTSAT,X,,,,
,1,283,TOPEX,Satellite,161,,Satellite,,,TOPEX,X,,,,
,1,284,Driftsonde,Upper Air,197,,Upper Air,,,Driftsonde,X,,,,
,1,285,OPCsonde,Upper Air,197,,Upper Air,,,Radiosondes,,X,,,
,1,286,JASON,Satellite,161,,Satellite,,,"Satellite, Jason",,X,,,
,1,287,WindSat,Satellite,161,,Satellite,,,"Satellite, WindSat",,X,,,
,1,288,MetOp,Satellite,161,after merge subdivide these in MetOP-n ,Satellite,,,MetOp,X,,,,
,1,289,Sounding Composites,Upper Air,197,,Upper Air,,,,,,,,
,1,291,COSMIC,Satellite,161,,Satellite,,,COSMIC,X,,,,
,1,292,AMSR-E,Satellite,161,,Satellite,,,AMSR-E,X,,,,
NULL,1,293,1-hz data,CIRPAS TwinOtter,270,delete,,,,,,,,,
NULL,1,294,10-hz data,CIRPAS TwinOtter,270,delete,,,,,,,,,
NULL,1,295,40-hz data,CIRPAS TwinOtter,270,delete,,,,,,,,,
NULL,1,296,100-hz data,CIRPAS TwinOtter,270,delete,,,,,,,,,
NULL,1,297,1000-hz data,CIRPAS TwinOtter,270,delete,,,,,,,,,
,1,298,DWD COSMO,Model,102,,,,,DWD COSMO,X,,,,
,1,299,JMA,Model,102,,,,,JMA,X,,,,
,1,300,ArcticRIMS,Accompanying Archives,257,remove parent,Accompanying Archives,,,,,,,,ArcticRIMS
,1,307,Historical Collection                              ,,,,,,,,,,,,
,1,309,ADCP,Oceanography,124,,,,,ADCP,X,,,,
NULL,1,310,Canadian Archipelago Throughflow Study (CATS),Accompanying Archives,257,remove parent,Accompanying Archives,,,,,,,,Canadian Archipelago Throughflow Study (CATS)
,1,311,Radiometer,Upper Air,197,,Upper Air,,,Radiometer,,X,,,
,1,315,ASCAT,Satellite,161,,Satellite,,,ASCAT,,,,,
,1,320,UKMET,Model,102,,,,,UKMET,X,,,,
,1,321,RSMAS,Model,102,,,,,RSMAS,X,,,,
,1,322, Paleoclimatology                                   ,,,, Paleoclimatology                                   ,,X,,,,,,
,1,323,SPEC Learjet,Aircraft,8,,Aircraft,,,"Aircraft, SPEC Learjet",,X,,,
,1,324,Local and Traditional Knowledge                    ,,,,Local and Traditional Knowledge                    ,,X,,,,,,
,1,325,R/V Mirai,Ship Based,166,,Ship,,,R/V Mirai,,X,,,
,1,327,R/V Baruna Jaya,Ship Based,166,,Ship,,,R/V Baruna Jaya,X,,,,
,1,328,CNES Falcon,Aircraft,8,,Aircraft,,,"Aircraft, CNES Falcon",,X,,,
,1,329,NOAA Twin Otter,Aircraft,8,,Aircraft,,,"Aircraft, NOAA Twin Otter",,X,,,
,1,330, Albedo                                             ,,,,Radiation,,,,,,,,
,1,331, Magnetic Field                                     ,,,,Magnetic Field                                     ,,X,,,,,,
,1,332, Lightning                                          ,,,,Lightning,,,,,,,,
NULL,1,333,Satellite:OPC,Satellite,161,,Satellite,,,"Satellite, OPC",,X,,,
,1,334,Kalpana-1,Satellite,161,,Satellite,,,"Satellite, Kalpana-1",,X,,,
,1,335,Carbon Dioxide Information Analysis Center (CDIAC),Accompanying Archives,257,remove parent,Accompanying Archives,,,,,,,,Carbon Dioxide Information Analysis Center (CDIAC)
,1,336,Mammals,Biology,23,,Mammals,Biology,X,,,,,,
,1,342,SUNY-Stony Brook Long-EZ,Aircraft,8,,Aircraft,,,"Aircraft, SUNY-Stony Brook Long-EZ",,X,,,
,1,343,Purdue University Beechcraft 76 Duchess,Aircraft,8,,Aircraft,,,"Aircraft, Purdue University Duchess",,X,,,
,1,344,NASA Globa lHawk,Aircraft,8,,Aircraft,,,NASA Globa lHawk,,X,,,
,1,366,SAFIRE Falcon 20,Aircraft,8,,Aircraft,,,"Aircraft, SAFIRE French Falcon",,X,,,
,1,376,Phytoplankton,Biology,23,,Plankton,Biology,X,,,,,,
,1,377,Zooplankton,Biology,23,,Plankton,Biology,X,,,,,,
,1,378,Chlorophyll                                        ,Biology,,,Biology,,,,,,,,
,1,390,UMD Cessna 402B,Aircraft,8,,Aircraft,,,"Aircraft, UMD Cessna 402B",X,,"add ""Aircraft, """,,
don't use,1,397, Project                                            ,,,"don't use, bad one for DBO only",,,,,,,,,
don't use,1,398, Dataset                                            ,,,"don't use, bad one for DBO only",,,,,,,,,
,1,409,Macrofauna,Biology,23,,Biology,Biology,X,,,,,,
NULL,1,410,Epifauna,Biology,23,,Epifauna,Biology,X,,,,,,
,1,411,Marine Mammal Watch,Biology,23,change,mammals,Biology,X,,,,,,
,1,412,Marine Mammal Survey,Biology,23,change,mammals,Biology,X,,,,,,
,1,413,Marine Mammal Acoustics,Biology,23,change,mammals,Biology,X,,,,,,
NULL,1,414,Education & Outreach                               ,,,,Education & Outreach                               ,,X,,,,,,
,1,416,NASA WB-57,Aircraft,8,,Aircraft,,,"Aircraft, NASA WB-57",,X,,,
,1,418,NRC Convair 580,Aircraft,8,,Aircraft,,,"Aircraft, NRC Convair 580",,X,,,
,1,419,Honeywell B757,Aircraft,8,,Aircraft,,,"Aircraft, Honeywell B757",X,,"add ""Aircraft, """,,
,1,423,R/V Investigator,Ship Based,166,,Ship,,,RV Investigator,,X,,,
,1,424,RSV Aurora Australis,Ship Based,166,,Ship,,,RSV Aurora Australis,,,,,
,2,1,AOS-94                                             ,,,,,,,,,,,,AOS-94                                             
,2,3,AWS-02                                             ,,,,,,,,,,,,AWS-02                                             
,2,63,HLY-02-01,,,,,,,,,,,,HLY-02-01
,2,64,HLY-02-03,,,,,,,,,,,,HLY-02-03
,2,65,HLY-03-03,,,,,,,,,,,,HLY-03-03
,2,66,HLY-04-02,,,,,,,,,,,,HLY-04-02
,2,67,HLY-04-03,,,,,,,,,,,,HLY-04-03
,2,68,HLY-04-04,,,,,,,,,,,,HLY-04-04
,2,69,HX-235                                             ,,,,,,,,,,,,HX-235                                             
,2,70,HX-250                                             ,,,,,,,,,,,,HX-250                                             
,2,71,HX-260                                             ,,,,,,,,,,,,HX-260                                             
,2,72,HX-274                                             ,,,,,,,,,,,,HX-274                                             
,2,73,HX-290                                             ,,,,,,,,,,,,HX-290                                             
,2,75,Hurricane Katrina                                  ,,,,,,,,,,,,Hurricane Katrina                                  
,2,76,Hurricane Ophelia                                  ,,,,,,,,,,,,Hurricane Ophelia                                  
,2,77,Hurricane Rita                                     ,,,,,,,,,,,,Hurricane Rita                                     
,2,112,NBP03-04a,,,,,,,,,,,,NBP03-04a
,2,214,Hurricane Wilma                                    ,,,,,,,,,,,,Hurricane Wilma                                    
,2,215,Hurricane Gert                                     ,,,,,,,,,,,,Hurricane Gert                                     
,2,216,Hurricane Dennis                                   ,,,,,,,,,,,,Hurricane Dennis                                   
,2,217, Hurricane Emily                                    ,,,,,,,,,,,, Hurricane Emily                                    
,2,220, HLY-03-01                                          ,,,,,,,,,,,, HLY-03-01                                          
,2,224, 2003-14                                            ,,,,Aircraft,,,Helicopter,,X,,,
,2,226, 1995 VORTEX                                        ,,,,,,,,,,,, 1995 VORTEX                                        
